constituency,lat,lng,population,no_of_foodbanks,index_of_multiple_deprivation
Aldershot,51.2854,-0.777,105601,4,15
Aldridge-Brownhills,52.61431,-1.92815,77476,1,18.72
Altrincham and Sale West,53.39,-2.3657,101861,3,10.39
Amber Valley,53.03994,-1.4,90620,1,20.9
Arundel and South Downs,50.92779,-0.45467,101579,6,11.21
Ashfield,53.09306,-1.27201,107100,0,27
Ashford,51.12846,0.7914,123871,0,18.71
Ashton-under-Lyne,53.4978,-2.11639,92602,2,34.31
Aylesbury,51.73206,-0.79807,123732,11,12.03
Banbury,51.99107,-1.28629,124450,5,15.04
Barking,51.53679,0.11659,140733,1,33.59
Barnsley Central,53.57652,-1.48847,91272,5,30.65
Barnsley East,53.54267,-1.40775,95016,7,32.43
Barrow and Furness,54.19012,-3.16,86728,2,27.21
Basildon and Billericay,51.60361,0.43556,96192,0,21.91
Basingstoke,51.26648,-1.06589,114883,1,14.74
Bassetlaw,53.35492,-0.98859,107497,0,22.7
Bath,51.38024,-2.36673,97227,6,12.07
Batley and Spen,53.72325,-1.68454,111704,0,26.82
Battersea,51.4667,-0.16205,117649,2,16.53
Beaconsfield,51.56227,-0.618,102799,1,8.57
Beckenham,51.381,0.00551,93099,0,9.89
Bedford,52.1319,-0.46427,106761,7,23.21
Bermondsey and Old Southwark,51.49671,-0.07315,146406,3,25.85
Berwick-upon-Tweed,55.43295,-1.93117,75832,0,19.92
Bethnal Green and Bow,51.52671,-0.04786,150337,0,30.02
Beverley and Holderness,53.79553,-0.23072,100605,1,15.79
Bexhill and Battle,50.9432,0.42855,106127,2,17.17
Bexleyheath and Crayford,51.46304,0.16295,94574,1,17.04
Birkenhead,53.38544,-3.0411,90212,8,43.77
"Birmingham, Edgbaston",52.45252,-1.96551,105856,1,31.49
"Birmingham, Erdington",52.52501,-1.83745,104071,2,46.7
"Birmingham, Hall Green",52.44202,-1.87049,120133,3,39.13
"Birmingham, Hodge Hill",52.48917,-1.8136,129538,2,49.34
"Birmingham, Ladywood",52.48856,-1.89878,147715,4,45.46
"Birmingham, Northfield",52.40688,-1.96936,103918,0,39.08
"Birmingham, Perry Barr",52.52579,-1.91339,112444,0,37.5
"Birmingham, Selly Oak",52.42367,-1.90858,110024,1,30.77
"Birmingham, Yardley",52.46154,-1.80867,113280,3,40.52
Bishop Auckland,54.6003,-1.97511,89415,5,29.07
Blackburn,53.7439,-2.49714,109457,1,39.33
Blackley and Broughton,53.51602,-2.23352,122538,0,46.85
Blackpool North and Cleveleys,53.85814,-3.03262,83162,0,35.12
Blackpool South,53.7983,-3.03343,79455,0,48.36
Blaydon,54.93213,-1.71251,87978,2,20.94
Blyth Valley,55.092,-1.55142,84340,1,27.31
Bognor Regis and Littlehampton,50.80218,-0.63928,107223,3,21.5
Bolsover,53.20205,-1.30892,99175,2,24.59
Bolton North East,53.60382,-2.41523,98389,0,34.1
Bolton South East,53.55201,-2.41716,106388,2,36.84
Bolton West,53.57635,-2.51992,95976,0,21.59
Bootle,53.46909,-2.99996,99639,8,42.51
Boston and Skegness,53.03292,0.06156,107531,2,28.92
Bosworth,52.61504,-1.39552,105602,9,13.95
Bournemouth East,50.7379,-1.8285,107023,7,21.57
Bournemouth West,50.74538,-1.90016,105337,4,22.22
Bracknell,51.37786,-0.79956,111993,1,10.79
Bradford East,53.81352,-1.73057,119261,1,44.01
Bradford South,53.76492,-1.76526,105865,2,38.2
Bradford West,53.79987,-1.81554,118764,1,42.57
Braintree,51.97558,0.57817,100884,6,14.83
Brent Central,51.55153,-0.25214,149140,1,30.72
Brent North,51.56869,-0.29268,136270,1,20.49
Brentford and Isleworth,51.47938,-0.32218,135834,1,19.48
Brentwood and Ongar,51.67712,0.2656,96515,2,11.54
Bridgwater and West Somerset,51.13568,-3.32349,113714,1,23.61
Brigg and Goole,53.61495,-0.7238,88904,1,17.44
"Brighton, Kemptown",50.8199,-0.06,96557,1,27.13
"Brighton, Pavilion",50.85865,-0.13995,113318,0,17.3
Bristol East,51.45471,-2.53932,101133,2,26.21
Bristol North West,51.45562,-2.84672,106446,6,24.33
Bristol South,51.42354,-2.59794,113670,1,32.7
Bristol West,51.46214,-2.59027,142156,4,22.77
Broadland,52.74744,1.17932,99170,4,13.91
Bromley and Chislehurst,51.41054,0.05628,96043,5,16.58
Bromsgrove,52.36176,-2.01603,98662,1,11.7
Broxbourne,51.72065,-0.06806,102242,6,17.43
Broxtowe,52.96449,-1.25322,98046,4,12.63
Buckingham,51.8938,-0.89385,106292,1,8.92
Burnley,53.77893,-2.22194,88527,0,37.79
Burton,52.8975,-1.80874,107249,0,20.12
Bury North,53.61794,-2.31994,89808,0,23.71
Bury South,53.55615,-2.30481,100300,0,23.66
Bury St Edmunds,52.24772,0.89462,118041,0,13.46
Calder Valley,53.71788,-1.99222,104849,0,20.61
Camberwell and Peckham,51.47016,-0.07108,132209,3,28.63
Camborne and Redruth,50.18815,-5.23917,92978,0,26.51
Cambridge,52.20211,0.1311,116540,5,15.44
Cannock Chase,52.7124,-1.98021,100109,9,20.43
Canterbury,51.26812,1.08784,120042,0,15.48
Carlisle,54.86766,-2.95098,86496,0,23.01
Carshalton and Wallington,51.36141,-0.15506,102545,2,17.13
Castle Point,51.53642,0.59468,90070,0,16.84
Central Devon,50.73995,-3.77707,94135,2,16.26
Central Suffolk and North Ipswich,52.22157,1.22112,101907,3,14.65
Charnwood,52.69869,-1.1332,103006,1,10.64
Chatham and Aylesford,51.32979,0.48375,102240,1,24.8
Cheadle,53.37039,-2.18475,93826,1,11.48
Chelmsford,51.72491,0.48293,111377,5,12.53
Chelsea and Fulham,51.4793,-0.19051,109198,1,17.28
Cheltenham,51.8909,-2.07366,106333,2,14.54
Chesham and Amersham,51.68053,-0.62779,95927,5,6.95
