objectid,wd17cd,ward_name,bng_e,bng_n,lng,lat,st_areashape,st_lengthshape
1,E05000026,Abbey,544434,184378,0.081291,51.53982162,0.000162797,0.095055991
2,E05000027,Alibon,549247,185196,0.150987,51.54592133,0.000176819,0.081043786
3,E05000028,Becontree,546863,185869,0.116912,51.55260086,0.000166958,0.075036049
4,E05000029,Chadwell Heath,548266,189340,0.138596,51.5834198,0.000438934,0.108752675
5,E05000030,Eastbrook,550774,186272,0.173453,51.55519104,0.000447234,0.106965939
6,E05000031,Eastbury,546074,183978,0.104756,51.53580856,0.000186473,0.090866817
7,E05000032,Gascoigne,544763,183581,0.085704,51.53258133,0.000141172,0.09362467
8,E05000033,Goresbrook,548007,184060,0.132641,51.53604126,0.00016556,0.071749196
9,E05000034,Heath,549340,186620,0.152931,51.55868912,0.000259416,0.097363054
10,E05000035,Longbridge,545276,184914,0.093644,51.54442978,0.00021321,0.077637722
11,E05000036,Mayesbrook,547124,185052,0.120332,51.5451889,0.000240573,0.09415206
12,E05000037,Parsloes,548150,185599,0.13534801,51.54983139,0.000161207,0.08546916
13,E05000038,River,549432,182817,0.15264501,51.5245018,0.000405318,0.10987722
14,E05000039,Thames,547151,182704,0.119742,51.52407837,0.000866225,0.167149466
15,E05000040,Valence,548153,186867,0.13592499,51.56122971,0.000167594,0.069892757
16,E05000041,Village,550361,184190,0.166611,51.53659058,0.000278253,0.097667272
17,E05000042,Whalebone,548545,187662,0.141911,51.56827164,0.000201478,0.085149862
18,E05000043,Brunswick Park,528433,193715,-0.14588,51.62760162,0.000412283,0.09689798
19,E05000044,Burnt Oak,520522,190761,-0.26113001,51.60279846,0.000268281,0.082065079
20,E05000045,Childs Hill,524656,186687,-0.20291001,51.56528854,0.000401059,0.111371649
21,E05000046,Colindale,521442,189584,-0.24826001,51.59201813,0.000342054,0.09215254
22,E05000047,Coppetts,528052,191830,-0.15207,51.61074829,0.000353118,0.088920664
23,E05000048,East Barnet,527475,195754,-0.15897,51.64614105,0.00048703,0.110405012
24,E05000049,East Finchley,526811,190033,-0.17062999,51.59487915,0.000325656,0.096199424
25,E05000050,Edgware,518863,193351,-0.28420001,51.62643051,0.000721475,0.148637268
26,E05000051,Finchley Church End,524690,190195,-0.20118,51.59680939,0.000353667,0.103602956
27,E05000052,Garden Suburb,526124,188445,-0.18111999,51.58076096,0.000613146,0.121734785
28,E05000053,Golders Green,523819,187290,-0.21477,51.57088852,0.000385571,0.109983975
29,E05000054,Hale,520890,193803,-0.25477001,51.63005829,0.000704157,0.183503052
30,E05000055,Hendon,523084,189557,-0.22458,51.59143066,0.000368295,0.092306903
31,E05000056,High Barnet,523890,196696,-0.21043,51.65541077,0.001079208,0.239952045
32,E05000057,Mill Hill,523111,192066,-0.22330999,51.61397171,0.001218776,0.177290965
33,E05000058,Oakleigh,526687,194738,-0.17072,51.63719177,0.000430954,0.133925389
34,E05000059,Totteridge,524649,193508,-0.20059,51.62659073,0.00113936,0.208664885
35,E05000060,Underhill,523991,195493,-0.20939,51.6445694,0.000591076,0.204854729
36,E05000061,West Finchley,525518,191440,-0.18878999,51.60781097,0.000280782,0.093599659
37,E05000062,West Hendon,522394,188065,-0.23504999,51.57817078,0.000444717,0.121875527
38,E05000063,Woodhouse,526776,191859,-0.17048,51.61130142,0.000340211,0.102822607
39,E05000064,Barnehurst,550460,175355,0.164272,51.45718002,0.000372163,0.127506514
40,E05000065,Belvedere,549321,178637,0.149278,51.48696899,0.000370984,0.116515961
41,E05000066,Blackfen and Lamorbey,545401,173876,0.090901,51.4452095,0.000217967,0.099605126
42,E05000067,Blendon and Penhill,547322,173969,0.118562,51.44554901,0.000271287,0.103247019
43,E05000068,Brampton,548864,176676,0.141874,51.46947098,0.000254539,0.091660001
44,E05000069,Christchurch,548925,175206,0.142132,51.45624924,0.000330075,0.107285008
45,E05000070,Colyers,550740,176890,0.168954,51.47090149,0.000212684,0.084706679
46,E05000071,Crayford,551768,175070,0.182962,51.45426941,0.000513177,0.135521387
47,E05000072,Cray Meadows,548274,171449,0.13119701,51.42266083,0.000929331,0.169852396
48,E05000073,Danson Park,547301,175187,0.118768,51.45650101,0.000350941,0.108878072
49,E05000074,East Wickham,545785,176411,0.097468,51.46789169,0.000281148,0.079887467
50,E05000075,Erith,550726,178873,0.169598,51.48871994,0.00044543,0.121535133
51,E05000076,Falconwood and Welling,545455,175296,0.092262,51.45795822,0.000216043,0.097688785
52,E05000077,Lesnes Abbey,548175,178189,0.132596,51.48324966,0.000306748,0.094313094
53,E05000078,Longlands,545622,171995,0.093306,51.42824936,0.000335721,0.110502225
54,E05000079,North End,552701,176856,0.19715101,51.47006989,0.000576038,0.143819913
55,E05000080,Northumberland Heath,549649,177366,0.15346,51.47546005,0.000226797,0.086151456
56,E05000081,St Mary's,549096,173258,0.14377099,51.43870163,0.00057257,0.137344936
57,E05000082,St Michael's,547201,176845,0.11802,51.47142029,0.000187362,0.056280899
58,E05000083,Sidcup,546202,173047,0.102077,51.43756104,0.000349501,0.119191574
59,E05000084,Thamesmead East,548396,180162,0.13660599,51.50091934,0.00051482,0.10626097
60,E05000085,Alperton,518344,183853,-0.29488999,51.54116821,0.000266792,0.107214451
61,E05000086,Barnhill,519301,187233,-0.27994999,51.5713501,0.000386344,0.118064117
62,E05000087,Brondesbury Park,523503,184107,-0.22045,51.54235077,0.000224142,0.085578744
63,E05000088,Dollis Hill,522313,186513,-0.23676001,51.5642395,0.000298174,0.087627098
64,E05000089,Dudden Hill,522083,185505,-0.24043,51.55522919,0.00021798,0.115746464
65,E05000090,Fryent,520182,188419,-0.26684001,51.58182144,0.000344971,0.106905581
66,E05000091,Harlesden,521490,183879,-0.24954,51.54074097,0.000144337,0.058203137
67,E05000092,Kensal Green,522352,183277,-0.23732001,51.53514862,0.000145139,0.07018784
68,E05000093,Kenton,517617,188189,-0.30392,51.58029938,0.000290973,0.09532907
69,E05000094,Kilburn,524960,183799,-0.19956,51.53926849,0.000122329,0.059374076
70,E05000095,Mapesbury,523466,185443,-0.22051001,51.55437088,0.000180643,0.071114655
71,E05000096,Northwick Park,516715,187252,-0.31724,51.57205963,0.000347544,0.099874663
72,E05000097,Preston,518207,186413,-0.296,51.56420898,0.000309695,0.086695146
73,E05000098,Queens Park,524047,183333,-0.21288,51.53527832,0.000192511,0.077941076
74,E05000099,Queensbury,519681,189604,-0.27366,51.59257889,0.000266143,0.084604287
75,E05000100,Stonebridge,520083,183661,-0.26989001,51.53908157,0.000524981,0.130219149
76,E05000101,Sudbury,516871,185370,-0.31562001,51.55511856,0.000275472,0.104149644
77,E05000102,Tokyngton,519356,185188,-0.27985001,51.55295944,0.000357698,0.092705916
78,E05000103,Welsh Harp,520882,186662,-0.25734001,51.56587982,0.000300705,0.110263597
79,E05000104,Wembley Central,518205,184839,-0.29655999,51.55007172,0.000207953,0.08823024
80,E05000105,Willesden Green,522219,184330,-0.23886999,51.54463959,0.000200648,0.093690588
81,E05000106,Bickley,542443,169027,0.046418,51.40238953,0.000629048,0.125018396
82,E05000107,Biggin Hill,541094,159119,0.023113,51.31369019,0.001067799,0.179807749
83,E05000108,Bromley Common and Keston,542215,165398,0.041692,51.36983871,0.001072685,0.219083926
84,E05000109,Bromley Town,540273,169266,0.015337,51.40507889,0.000480183,0.164131353
85,E05000110,Chelsfield and Pratts Bottom,547216,162725,0.112379,51.34455109,0.001621234,0.267654429
86,E05000111,Chislehurst,544442,170313,0.075659,51.4134407,0.001349243,0.207332893
87,E05000112,Clock House,536163,169328,-0.04369,51.40663147,0.00029284,0.1091295
88,E05000113,Copers Cope,537815,170017,-0.01968,51.41242981,0.000424755,0.134380895
89,E05000114,Cray Valley East,548054,168282,0.12671401,51.39426041,0.001715053,0.24033368
90,E05000115,Cray Valley West,546389,168891,0.10305,51.40016174,0.000508793,0.147322538
91,E05000116,Crystal Palace,534382,170280,-0.06892,51.41561127,0.000296113,0.090333526
92,E05000117,Darwin,542742,160113,0.047142,51.3222084,0.003745637,0.36633376
93,E05000118,Farnborough and Crofton,544022,164853,0.067413,51.36449051,0.000904379,0.172465328
94,E05000119,Hayes and Coney Hall,539858,165582,0.007927,51.37208176,0.001397309,0.192300179
95,E05000120,Kelsey and Eden Park,537051,167654,-0.03157,51.39138031,0.000671573,0.156022255
96,E05000121,Mottingham and Chislehurst North,542017,172311,0.041613,51.43201065,0.000315677,0.101213721
