constituency,lat,lng,population,random
Aberavon,51.6,-3.812,68649,3653
Aberconwy,53.302,-3.805,59207,3481
Aberdeen North,57.176,-2.135,101461,758
Aberdeen South,57.095,-2.133,94831,1950
Airdrie and Shotts,55.845,-3.892,86736,2599
Aldershot,51.274,-0.756,105601,1730
Aldridge-Brownhills,52.61,-1.93,77476,581
Altrincham and Sale West,53.39,-2.35,101861,5469
Alyn and Deeside,53.208,-3.117,85746,9900
Amber Valley,53.03,-1.4,90620,1788
Angus,56.797,-2.921,85876,2784
Arfon,53.083,-4.042,62757,9450
Argyll and Bute,55.933,-5.349,86260,3236
Arundel and South Downs,51.856,-0.559,101579,2085
Ashfield,53.12,-1.27,107100,6027
Ashford,51.1,0.8,123871,2998
Ashton-under-Lyne,53.48,-2.1,92602,5263
Aylesbury,51.816,-0.817,123732,4307
"Ayr, Carrick and Cumnock",55.301,-4.618,91799,5501
Banbury,51.96,-1.3,124450,3914
Banff and Buchan,57.472,-2.451,91787,9406
Barking,51.53,0.11,140733,143
Barnsley Central,53.554,-1.48,91272,9898
Barnsley East,53.539,-1.413,95016,5247
Barrow and Furness,54.112,-3.178,86728,5723
Basildon and Billericay,51.6,0.44,96192,7582
Basingstoke,51.262,-1.084,114883,6481
Bassetlaw,53.4,-0.95,107497,4799
Bath,51.3809,-2.3603,97227,4088
Batley and Spen,53.717,-1.635,111704,8521
Battersea,51.4636,-0.16572,117649,9371
Beaconsfield,51.61,-0.645,102799,6924
Beckenham,51.389,-0.02,93099,1355
Bedford,52.126,-0.4649,106761,7469
Belfast East,54.6,-5.864722,96321,5318
Belfast North,54.663,-5.965,105432,1736
Belfast South,54.564722,-5.937778,116529,213
Belfast West,54.586389,-6.001667,94696,7419
Bermondsey and Old Southwark,51.49,-0.07,146406,6477
Berwick-upon-Tweed,55.55,-1.916667,75832,1689
"Berwickshire, Roxburgh and Selkirk",55.776,-2.411,94825,3270
Bethnal Green and Bow,51.5277,-0.0465,150337,7672
Beverley and Holderness,53.8,-0.156,100605,977
Bexhill and Battle,50.886,0.47,106127,9287
Bexleyheath and Crayford,50.941,0.455,94574,6455
Birkenhead,53.387,-3.0319,90212,6222
"Birmingham, Edgbaston",52.45,-1.9,105856,6983
"Birmingham, Erdington",52.51,-1.87,104071,9798
"Birmingham, Hall Green",52.43,-1.84,120133,874
"Birmingham, Hodge Hill",52.5,-1.82,129538,7373
"Birmingham, Ladywood",52.49,-1.87,147715,4965
"Birmingham, Northfield",52.4,-1.98,103918,6568
"Birmingham, Perry Barr",52.5249,-1.9042,112444,6693
"Birmingham, Selly Oak",52.43,-1.94,110024,4205
"Birmingham, Yardley",52.46,-1.82,113280,7671
Bishop Auckland,54.657,-1.677,89415,8929
Blackburn,53.747,-2.5017,109457,6200
Blackley and Broughton,53.51,-2.202,122538,8737
Blackpool North and Cleveleys,53.863,-2.914,83162,2520
Blackpool South,53.767,-2.914,79455,1920
Blaenau Gwent,51.777,-3.195,69713,597
Blaydon,54.95,-1.716667,87978,1530
Blyth Valley,55.127,-1.523,84340,313
Bognor Regis and Littlehampton,50.799,-0.599,107223,5872
Bolsover,53.23,-1.3,99175,8412
Bolton North East,53.608,-2.4183,98389,4617
Bolton South East,53.553,-2.4139,106388,9106
Bolton West,53.571,-2.538,95976,8185
Bootle,53.446,-2.989,99639,3357
Boston and Skegness,53.038,0.0556,107531,5603
Bosworth,52.6,-1.4,105602,6161
